time_bucket,supply_tx_count,withdrawal_tx_count,unique_suppliers,unique_withdraw_users,supply_amount_value_usd,supply_amount_value_eth,withdrawal_amount_value_usd,withdrawal_amount_value_eth
2025-11-01 00:00:00.000 UTC,317,305,191,197,581726720.521354,150906.82859315313,705817106.9640315,183097.26531241555
2025-11-01 06:00:00.000 UTC,391,291,213,171,89824938.1213198,23209.831527834038,81992597.0607738,21186.012501399426
2025-11-01 12:00:00.000 UTC,425,307,205,153,79636335.75597171,20522.63043585866,91973760.22086637,23702.000477640893
2025-11-01 18:00:00.000 UTC,304,181,171,107,178143843.4115881,45918.055714436814,173043492.61233348,44603.39432929399
2025-11-02 00:00:00.000 UTC,252,177,144,96,83351439.38759874,21467.12777786613,50785734.07683446,13079.799819912258
2025-11-02 06:00:00.000 UTC,319,273,172,174,52648507.86580405,13533.610104849782,99710980.35295059,25631.323975834544
2025-11-02 12:00:00.000 UTC,371,283,199,167,109169698.80323878,28245.53212460856,94853257.28933287,24541.436743800456
2025-11-02 18:00:00.000 UTC,294,224,168,131,168513042.70692855,43637.518198573685,146532121.26466808,37945.402275245455
2025-11-03 00:00:00.000 UTC,518,471,235,241,325695764.17854476,85624.40343772343,497219498.9426586,130719.04795942045
2025-11-03 06:00:00.000 UTC,660,723,321,348,260491606.04895568,70122.12063629222,588434139.445061,158401.6410343222
2025-11-03 12:00:00.000 UTC,913,824,375,362,313558307.40334666,85235.79024359853,441020642.2331337,119885.34522405312
2025-11-03 18:00:00.000 UTC,928,808,394,336,404742301.6778112,112038.03506588763,291914746.7017035,80806.25859066106
2025-11-04 00:00:00.000 UTC,653,610,288,270,351323201.02216846,96997.6302234406,171271298.93640706,47286.940289534185
2025-11-04 06:00:00.000 UTC,1139,1289,493,469,378643053.2562757,108186.20454756742,676835295.2934437,193385.82855386674
2025-11-04 12:00:00.000 UTC,1195,1247,504,494,455130535.0971773,130195.40690988593,849455623.4238442,243000.6895329445
2025-11-04 18:00:00.000 UTC,2159,1872,793,624,751542128.3012401,231234.56117742773,1183991214.0505786,364310.9924863981
2025-11-05 00:00:00.000 UTC,1188,969,521,409,324599745.1975338,98673.22882001242,573365139.2127788,174301.46882808764
2025-11-05 06:00:00.000 UTC,832,688,430,333,317697281.7092849,95950.24594942143,336874089.5297826,101741.83142814449
2025-11-05 12:00:00.000 UTC,957,774,484,354,489407903.29249907,145288.6015703123,1163408695.5852063,345395.8489190357
2025-11-05 18:00:00.000 UTC,832,562,422,266,467293376.03855175,135674.89646790182,505749467.01493657,146840.07185803767
2025-11-06 00:00:00.000 UTC,584,456,310,226,276565996.90864044,80928.61563554392,141883646.94553915,41517.72246841646
