time_bucket,borrow_tx_count,repay_tx_count,variable_borrow_tx_count,unique_borrowers,unique_repayers,borrow_amount_value_usd,borrow_amount_value_eth,repay_amount_value_usd,repay_amount_value_eth
2025-11-01 00:00:00.000 UTC,197,162,197,140,106,276839405.3922199,71815.61683229601,254299668.6601101,65968.5111959436
2025-11-01 06:00:00.000 UTC,185,140,185,137,88,34376192.38646754,8882.465330914558,30392763.775909513,7853.18673387723
2025-11-01 12:00:00.000 UTC,286,219,286,180,120,44531724.913407356,11476.03296393763,43000527.90986494,11081.435598443572
2025-11-01 18:00:00.000 UTC,186,161,186,130,82,36792799.64246474,9483.662320527455,25020565.009007555,6449.265968417346
2025-11-02 00:00:00.000 UTC,157,129,157,101,63,57665885.61797536,14851.84816286566,31908518.939607214,8218.009991303828
2025-11-02 06:00:00.000 UTC,174,133,174,132,82,15488856.07257927,3981.5134048571867,9185907.40280064,2361.296640378345
2025-11-02 12:00:00.000 UTC,226,175,226,156,98,70961896.60578747,18360.034897750906,8705697.092758436,2252.431690381646
2025-11-02 18:00:00.000 UTC,176,168,176,128,91,40355869.67774773,10450.445824458426,25953322.762465198,6720.801978825306
2025-11-03 00:00:00.000 UTC,266,362,266,156,186,55259666.952844396,14527.542066913935,353428340.08941615,92917.44371345316
2025-11-03 06:00:00.000 UTC,335,441,335,206,202,110833994.18755493,29835.59596100083,101423613.90215679,27302.417243639313
2025-11-03 12:00:00.000 UTC,444,623,444,273,288,150054932.65190953,40791.76955903181,224719432.80583096,61087.96148441817
2025-11-03 18:00:00.000 UTC,389,604,389,242,312,126598054.64111716,35044.30338724744,71781507.44548234,19870.29803093391
2025-11-04 00:00:00.000 UTC,278,405,278,180,216,89961027.18927956,24838.023253622912,133928079.27676065,36976.55439420734
2025-11-04 06:00:00.000 UTC,447,831,447,286,416,156289206.74401158,44655.20368293806,298788149.9497177,85370.1659683169
2025-11-04 12:00:00.000 UTC,489,909,489,303,412,197273619.64875495,56434.84130517368,130540975.52599473,37345.619449177335
2025-11-04 18:00:00.000 UTC,811,1907,811,436,806,305005445.45340014,93845.32862896506,412162572.6588341,126824.5173069006
2025-11-05 00:00:00.000 UTC,508,617,508,259,303,139365431.56693065,42364.569368007,201322373.14798403,61200.436906669784
2025-11-05 06:00:00.000 UTC,399,495,399,258,251,167943093.157947,50722.08698746768,212883573.08958498,64294.846463502065
2025-11-05 12:00:00.000 UTC,525,454,525,355,230,132992307.45000863,39481.98128194994,82169662.78534424,24395.079174181556
2025-11-05 18:00:00.000 UTC,411,321,411,280,169,122732071.95785259,35634.35006829298,89210507.95365164,25901.67230330445
2025-11-06 00:00:00.000 UTC,227,269,227,146,126,37165453.48630698,10875.279393799243,39046845.41408654,11425.865725758604
2025-11-06 06:00:00.000 UTC,238,244,238,167,133,101598701.76359873,29978.943672438214,72036470.38312535,21255.96621419754
2025-11-06 12:00:00.000 UTC,451,605,451,303,338,142114568.33419445,42548.159086642016,93327376.0240046,27941.682460734115
2025-11-06 18:00:00.000 UTC,271,472,271,194,310,205803750.05463514,62047.521747423394,154144126.3656733,46472.6612886143
2025-11-07 00:00:00.000 UTC,332,351,332,198,182,205611920.47184187,61712.121342958984,307694672.8427394,92350.42297375102
2025-11-07 06:00:00.000 UTC,324,343,324,202,198,174016602.62287554,52419.16028574363,142324006.95756078,42873.023156027826
2025-11-07 12:00:00.000 UTC,441,508,441,265,236,188470628.69218445,57538.65825763534,209492120.2156353,63955.84930100492
2025-11-07 18:00:00.000 UTC,467,415,467,296,189,127182581.21297336,36965.07853126871,117570862.1914317,34171.45692381738
2025-11-08 00:00:00.000 UTC,194,193,194,139,127,103844451.73174888,30134.457626478026,90450180.64937125,26247.590081434482
2025-11-08 06:00:00.000 UTC,218,266,218,140,130,36785894.10716795,10674.623176253011,64244295.799968064,18642.56770936332
2025-11-08 12:00:00.000 UTC,270,309,270,154,140,86352448.12254246,25453.256649471317,94980708.2688881,27996.521088392332
2025-11-08 18:00:00.000 UTC,176,183,176,132,113,31831251.76632703,9363.732570946548,34381013.613001086,10113.803312244547
2025-11-09 00:00:00.000 UTC,143,151,143,110,105,33352941.996087972,9848.463588663852,34463102.894476645,10176.27140863531
2025-11-09 06:00:00.000 UTC,161,166,161,131,118,29503047.361168806,8643.389151282465,38438264.38021079,11261.094901098073
2025-11-09 12:00:00.000 UTC,266,260,266,187,131,54560636.02167277,15622.382172637319,53252384.6653175,15247.928911812489
2025-11-09 18:00:00.000 UTC,361,220,361,247,123,40082470.26812663,11246.603330148682,34027033.24318751,9547.53776044846
2025-11-10 00:00:00.000 UTC,355,259,355,233,124,87482133.73746002,24157.95597682846,129868608.21925646,35862.81855475237
2025-11-10 06:00:00.000 UTC,275,236,275,184,122,60531508.46809429,16769.327516289013,61947802.027311556,17161.690556933445
2025-11-10 12:00:00.000 UTC,301,217,301,220,113,187484335.14835536,52570.394003637855,119768760.3382182,33582.76919110468
2025-11-10 18:00:00.000 UTC,257,229,257,191,112,83255784.61755154,23410.437047985157,66956631.34520875,18827.287610451327
2025-11-11 00:00:00.000 UTC,249,215,249,157,103,152823213.51684138,42571.32771838981,56049758.512436956,15613.446466507845
2025-11-11 06:00:00.000 UTC,253,191,253,175,108,95055720.65438868,26691.032203160306,89429209.18958417,25111.142332491105
2025-11-11 12:00:00.000 UTC,292,287,292,200,140,140485135.40444285,39922.515844718015,138923708.37018722,39478.52522667657
2025-11-11 18:00:00.000 UTC,254,281,254,167,131,50876929.66134956,14767.385119503922,97702852.03762715,28359.003218487167
2025-11-12 00:00:00.000 UTC,173,153,173,131,90,106213836.50851746,30891.459575932262,29615691.761535883,8613.47586035458
2025-11-12 06:00:00.000 UTC,206,195,206,151,104,84696415.6918454,24323.015209546636,98369083.13330212,28249.731711172943
2025-11-12 12:00:00.000 UTC,353,360,353,209,144,297107959.89542204,85028.83812119681,229687035.83371654,65733.50344354985
2025-11-12 18:00:00.000 UTC,253,256,253,165,143,151186503.49763477,44237.236830830196,265978563.9561854,77825.40716015898
2025-11-13 00:00:00.000 UTC,262,213,262,171,120,187235346.81092775,54317.19792348903,75475668.6511659,21895.624846939074
2025-11-13 06:00:00.000 UTC,211,166,211,144,99,54644936.76820923,15508.82863555714,42163045.698676996,11966.432618614414
2025-11-13 12:00:00.000 UTC,282,394,282,176,178,93100063.5272666,27277.03054646381,168088138.04358768,49246.34437484021
2025-11-13 18:00:00.000 UTC,542,830,542,318,349,103055448.02929801,32117.916394064716,141696465.09814337,44160.89823759045
2025-11-14 00:00:00.000 UTC,273,426,273,177,229,137849614.9718647,42954.06193699856,75706233.74256316,23590.05331447832
2025-11-14 06:00:00.000 UTC,343,601,343,219,291,57947462.5372254,18202.495112185392,91822047.3255666,28843.183246763776
2025-11-14 12:00:00.000 UTC,487,866,487,300,408,123314977.31650954,38937.751676169595,174298721.1051715,55035.39951230297
2025-11-14 18:00:00.000 UTC,336,491,336,215,252,86736778.68804817,27408.30789199603,78924314.28726363,24939.696154156125
2025-11-15 00:00:00.000 UTC,174,255,174,110,130,162308864.4402434,51298.958801562614,155461370.9808346,49134.74036154241
2025-11-15 06:00:00.000 UTC,229,251,229,144,160,28308916.38408084,8944.201675051632,26839748.119673204,8480.01217305584
2025-11-15 12:00:00.000 UTC,266,237,266,155,112,58427989.87221999,18383.24293352451,52870798.136017546,16634.778611216894
2025-11-15 18:00:00.000 UTC,186,181,186,131,103,12178372.689251363,3821.419890870964,40609727.72164862,12742.658276938304
2025-11-16 00:00:00.000 UTC,165,231,165,98,106,84739450.33017349,26643.81997350179,93767950.04067369,29482.84249554132
2025-11-16 06:00:00.000 UTC,189,163,189,119,79,40705911.73103535,12667.197680184448,61166359.910782106,19034.214985688144
2025-11-16 12:00:00.000 UTC,316,526,316,179,243,99609254.91354915,31759.72508131404,96366912.66416171,30725.4748052307
2025-11-16 18:00:00.000 UTC,389,657,389,221,283,44508982.28430852,14421.657373535692,72623927.08601928,23531.37231982202
2025-11-17 00:00:00.000 UTC,237,286,237,139,127,176323171.6221815,55965.43198086877,169875248.6815376,53918.86772593635
2025-11-17 06:00:00.000 UTC,222,187,222,159,105,75525991.81625035,23631.173997936006,59496264.41378371,18615.667345002745
2025-11-17 12:00:00.000 UTC,348,406,348,202,171,159035413.34466898,50688.682116496486,147948669.1461818,47154.76361468678
2025-11-17 18:00:00.000 UTC,453,1026,453,284,484,95164827.66859172,31573.469489560037,141894825.13162515,47077.45585821044
2025-11-18 00:00:00.000 UTC,386,812,386,215,397,73555064.92375661,24424.324306075552,97826692.09690881,32484.071124271966
2025-11-18 06:00:00.000 UTC,346,462,346,225,269,97785908.26951142,32216.46356613673,103562972.55780266,34119.87639739938
2025-11-18 12:00:00.000 UTC,392,360,392,223,160,64137129.23054753,20773.389952268317,86354167.79150462,27968.394226416778
2025-11-18 18:00:00.000 UTC,274,283,274,193,155,71500104.17880373,22813.76546931328,90814519.0577193,28976.42373135529
2025-11-19 00:00:00.000 UTC,260,267,260,146,133,33509800.731570933,10862.889152016049,55357928.58550406,17945.28921398499
2025-11-19 06:00:00.000 UTC,219,207,219,147,121,31271113.45445805,10180.693915235759,34681583.99282535,11291.032648806691
2025-11-19 12:00:00.000 UTC,345,555,345,231,272,48454653.71988131,16011.576093153728,84533769.80613472,27934.080083730027
2025-11-19 18:00:00.000 UTC,465,700,465,299,379,59436376.726964965,20216.711052175215,117372933.03981891,39922.888035861135
2025-11-20 00:00:00.000 UTC,222,202,222,158,126,38182581.19642147,12575.515161467425,44382704.599632286,14617.533591039966
2025-11-20 06:00:00.000 UTC,185,177,185,146,131,29663796.30074862,9817.614685408917,78124561.54633471,25856.269322974596
2025-11-20 12:00:00.000 UTC,403,606,403,250,313,73123195.95440815,24730.603266667847,102002301.30236247,34498.7939132816
2025-11-20 18:00:00.000 UTC,472,875,472,284,430,202887184.68680397,71163.9204380664,119649379.34324877,41967.3911937756
2025-11-21 00:00:00.000 UTC,318,690,318,208,355,57619347.09934432,20357.485210385064,124811608.86767356,44097.62653002095
