time_bucket,collateral_enabled_count,collateral_disabled_count,unique_collateral_enable_users,unique_collateral_disable_users
2025-11-01 00:00:00.000 UTC,208,178,159,129
2025-11-01 06:00:00.000 UTC,241,176,186,122
2025-11-01 12:00:00.000 UTC,267,212,177,122
2025-11-01 18:00:00.000 UTC,222,144,166,89
2025-11-02 00:00:00.000 UTC,163,119,119,74
2025-11-02 06:00:00.000 UTC,235,191,183,139
2025-11-02 12:00:00.000 UTC,264,204,194,135
2025-11-02 18:00:00.000 UTC,221,163,166,108
2025-11-03 00:00:00.000 UTC,388,366,237,212
2025-11-03 06:00:00.000 UTC,452,464,261,272
2025-11-03 12:00:00.000 UTC,558,578,268,292
2025-11-03 18:00:00.000 UTC,621,601,309,288
2025-11-04 00:00:00.000 UTC,422,394,239,212
2025-11-04 06:00:00.000 UTC,817,807,398,386
2025-11-04 12:00:00.000 UTC,833,833,366,367
2025-11-04 18:00:00.000 UTC,1303,1331,480,509
2025-11-05 00:00:00.000 UTC,686,647,374,332
2025-11-05 06:00:00.000 UTC,482,413,315,249
2025-11-05 12:00:00.000 UTC,574,498,348,269
2025-11-05 18:00:00.000 UTC,486,387,324,225
2025-11-06 00:00:00.000 UTC,362,311,236,184
2025-11-06 06:00:00.000 UTC,340,273,249,182
2025-11-06 12:00:00.000 UTC,566,565,354,353
2025-11-06 18:00:00.000 UTC,474,406,312,246
2025-11-07 00:00:00.000 UTC,505,433,332,258
2025-11-07 06:00:00.000 UTC,480,419,326,264
2025-11-07 12:00:00.000 UTC,478,510,279,312
2025-11-07 18:00:00.000 UTC,483,367,328,212
2025-11-08 00:00:00.000 UTC,303,208,225,131
2025-11-08 06:00:00.000 UTC,368,244,294,170
2025-11-08 12:00:00.000 UTC,375,266,281,170
2025-11-08 18:00:00.000 UTC,341,241,243,141
2025-11-09 00:00:00.000 UTC,300,176,226,101
2025-11-09 06:00:00.000 UTC,331,193,268,130
2025-11-09 12:00:00.000 UTC,454,353,310,211
2025-11-09 18:00:00.000 UTC,363,310,230,179
2025-11-10 00:00:00.000 UTC,370,305,232,168
2025-11-10 06:00:00.000 UTC,357,261,259,166
2025-11-10 12:00:00.000 UTC,343,252,243,153
2025-11-10 18:00:00.000 UTC,308,266,200,158
2025-11-11 00:00:00.000 UTC,305,243,204,144
2025-11-11 06:00:00.000 UTC,292,249,190,146
2025-11-11 12:00:00.000 UTC,338,263,239,163
2025-11-11 18:00:00.000 UTC,341,288,223,170
2025-11-12 00:00:00.000 UTC,272,247,178,154
2025-11-12 06:00:00.000 UTC,300,247,204,150
2025-11-12 12:00:00.000 UTC,470,379,268,176
2025-11-12 18:00:00.000 UTC,325,278,211,165
2025-11-13 00:00:00.000 UTC,346,287,220,165
2025-11-13 06:00:00.000 UTC,292,229,214,150
2025-11-13 12:00:00.000 UTC,437,405,248,216
2025-11-13 18:00:00.000 UTC,699,689,308,294
2025-11-14 00:00:00.000 UTC,439,417,234,208
2025-11-14 06:00:00.000 UTC,512,543,250,283
2025-11-14 12:00:00.000 UTC,705,705,326,326
2025-11-14 18:00:00.000 UTC,459,401,265,207
2025-11-15 00:00:00.000 UTC,314,306,187,178
2025-11-15 06:00:00.000 UTC,281,253,202,174
2025-11-15 12:00:00.000 UTC,295,236,198,142
2025-11-15 18:00:00.000 UTC,264,250,164,151
2025-11-16 00:00:00.000 UTC,223,228,128,132
2025-11-16 06:00:00.000 UTC,260,248,170,157
2025-11-16 12:00:00.000 UTC,577,561,278,264
2025-11-16 18:00:00.000 UTC,722,647,369,296
2025-11-17 00:00:00.000 UTC,403,315,246,158
2025-11-17 06:00:00.000 UTC,360,306,225,175
2025-11-17 12:00:00.000 UTC,491,451,265,227
2025-11-17 18:00:00.000 UTC,910,904,385,382
2025-11-18 00:00:00.000 UTC,669,658,316,303
2025-11-18 06:00:00.000 UTC,461,364,307,210
2025-11-18 12:00:00.000 UTC,482,398,311,226
2025-11-18 18:00:00.000 UTC,392,335,262,210
2025-11-19 00:00:00.000 UTC,285,234,184,136
2025-11-19 06:00:00.000 UTC,317,281,212,177
2025-11-19 12:00:00.000 UTC,590,548,312,263
2025-11-19 18:00:00.000 UTC,670,565,368,263
2025-11-20 00:00:00.000 UTC,283,249,177,142
2025-11-20 06:00:00.000 UTC,329,283,223,178
2025-11-20 12:00:00.000 UTC,572,539,289,254
2025-11-20 18:00:00.000 UTC,626,569,346,289
2025-11-21 00:00:00.000 UTC,587,562,297,273
2025-11-21 06:00:00.000 UTC,1109,1131,471,490
2025-11-21 12:00:00.000 UTC,812,842,378,405
2025-11-21 18:00:00.000 UTC,480,418,273,206
2025-11-22 00:00:00.000 UTC,258,249,158,148
2025-11-22 06:00:00.000 UTC,334,303,224,190
2025-11-22 12:00:00.000 UTC,362,307,257,201
2025-11-22 18:00:00.000 UTC,325,293,197,170
2025-11-23 00:00:00.000 UTC,372,328,207,163
2025-11-23 06:00:00.000 UTC,332,292,219,179
2025-11-23 12:00:00.000 UTC,402,315,267,182
2025-11-23 18:00:00.000 UTC,385,316,240,175
2025-11-24 00:00:00.000 UTC,306,310,152,156
2025-11-24 06:00:00.000 UTC,275,230,212,167
2025-11-24 12:00:00.000 UTC,346,283,244,182
2025-11-24 18:00:00.000 UTC,433,400,253,218
2025-11-25 00:00:00.000 UTC,231,199,169,136
2025-11-25 06:00:00.000 UTC,314,297,221,204
2025-11-25 12:00:00.000 UTC,455,448,314,304
2025-11-25 18:00:00.000 UTC,325,228,232,133
2025-11-26 00:00:00.000 UTC,241,226,158,144
2025-11-26 06:00:00.000 UTC,251,198,180,127
2025-11-26 12:00:00.000 UTC,366,302,264,200
2025-11-26 18:00:00.000 UTC,375,316,272,217
2025-11-27 00:00:00.000 UTC,300,299,187,184
2025-11-27 06:00:00.000 UTC,345,292,249,197
2025-11-27 12:00:00.000 UTC,392,339,254,200
2025-11-27 18:00:00.000 UTC,305,273,185,155
2025-11-28 00:00:00.000 UTC,144,154,104,114
2025-11-28 06:00:00.000 UTC,249,247,171,170
2025-11-28 12:00:00.000 UTC,366,322,255,211
2025-11-28 18:00:00.000 UTC,254,217,185,146
2025-11-29 00:00:00.000 UTC,181,151,142,112
2025-11-29 06:00:00.000 UTC,232,221,158,145
2025-11-29 12:00:00.000 UTC,234,219,158,142
2025-11-29 18:00:00.000 UTC,181,157,128,107
2025-11-30 00:00:00.000 UTC,180,143,129,92
2025-11-30 06:00:00.000 UTC,226,180,172,126
2025-11-30 12:00:00.000 UTC,278,239,198,156
2025-11-30 18:00:00.000 UTC,249,198,177,126
2025-12-01 00:00:00.000 UTC,549,572,274,296
2025-12-01 06:00:00.000 UTC,369,342,208,179
2025-12-01 12:00:00.000 UTC,585,508,340,261
2025-12-01 18:00:00.000 UTC,386,354,240,206
2025-12-02 00:00:00.000 UTC,260,207,195,142
2025-12-02 06:00:00.000 UTC,309,273,186,150
2025-12-02 12:00:00.000 UTC,481,419,318,255
2025-12-02 18:00:00.000 UTC,350,263,238,151
2025-12-03 00:00:00.000 UTC,326,251,242,166
2025-12-03 06:00:00.000 UTC,353,287,246,182
2025-12-03 12:00:00.000 UTC,432,359,284,209
2025-12-03 18:00:00.000 UTC,401,308,276,186
2025-12-04 00:00:00.000 UTC,332,281,247,198
2025-12-04 06:00:00.000 UTC,296,234,229,168
2025-12-04 12:00:00.000 UTC,401,329,298,224
2025-12-04 18:00:00.000 UTC,304,228,239,162
2025-12-05 00:00:00.000 UTC,209,199,166,155
2025-12-05 06:00:00.000 UTC,279,204,225,150
2025-12-05 12:00:00.000 UTC,404,337,303,239
2025-12-05 18:00:00.000 UTC,339,264,264,188
2025-12-06 00:00:00.000 UTC,208,179,158,129
2025-12-06 06:00:00.000 UTC,192,142,154,104
2025-12-06 12:00:00.000 UTC,251,182,196,126
2025-12-06 18:00:00.000 UTC,184,154,151,119
2025-12-07 00:00:00.000 UTC,119,93,97,71
2025-12-07 06:00:00.000 UTC,157,134,128,104
2025-12-07 12:00:00.000 UTC,303,269,208,174
2025-12-07 18:00:00.000 UTC,265,236,194,167
2025-12-08 00:00:00.000 UTC,184,128,158,104
2025-12-08 06:00:00.000 UTC,237,194,195,153
2025-12-08 12:00:00.000 UTC,303,232,243,173
2025-12-08 18:00:00.000 UTC,198,148,161,110
2025-12-09 00:00:00.000 UTC,196,155,153,117
2025-12-09 06:00:00.000 UTC,293,258,210,173
2025-12-09 12:00:00.000 UTC,509,466,337,295
2025-12-09 18:00:00.000 UTC,406,320,294,210
2025-12-10 00:00:00.000 UTC,220,201,166,146
2025-12-10 06:00:00.000 UTC,251,227,190,165
2025-12-10 12:00:00.000 UTC,314,236,245,167
2025-12-10 18:00:00.000 UTC,369,306,261,196
2025-12-11 00:00:00.000 UTC,290,244,220,176
2025-12-11 06:00:00.000 UTC,341,290,274,223
2025-12-11 12:00:00.000 UTC,340,227,293,179
2025-12-11 18:00:00.000 UTC,289,189,238,138
2025-12-12 00:00:00.000 UTC,235,179,185,130
2025-12-12 06:00:00.000 UTC,239,168,203,132
2025-12-12 12:00:00.000 UTC,454,328,341,218
2025-12-12 18:00:00.000 UTC,316,211,252,148
2025-12-13 00:00:00.000 UTC,188,138,142,92
2025-12-13 06:00:00.000 UTC,245,188,187,130
2025-12-13 12:00:00.000 UTC,267,185,207,125
2025-12-13 18:00:00.000 UTC,209,174,154,120
2025-12-14 00:00:00.000 UTC,143,101,115,72
2025-12-14 06:00:00.000 UTC,202,141,163,105
2025-12-14 12:00:00.000 UTC,312,249,245,183
2025-12-14 18:00:00.000 UTC,262,195,194,128
2025-12-15 00:00:00.000 UTC,215,170,162,116
2025-12-15 06:00:00.000 UTC,270,240,192,164
2025-12-15 12:00:00.000 UTC,541,491,389,340
2025-12-15 18:00:00.000 UTC,440,396,324,279
2025-12-16 00:00:00.000 UTC,342,299,235,192
2025-12-16 06:00:00.000 UTC,273,245,208,181
2025-12-16 12:00:00.000 UTC,324,276,242,196
2025-12-16 18:00:00.000 UTC,240,210,167,137
2025-12-17 00:00:00.000 UTC,206,147,162,104
2025-12-17 06:00:00.000 UTC,234,186,187,142
2025-12-17 12:00:00.000 UTC,430,400,297,267
2025-12-17 18:00:00.000 UTC,380,339,275,233
2025-12-18 00:00:00.000 UTC,233,193,177,136
2025-12-18 06:00:00.000 UTC,270,223,202,155
2025-12-18 12:00:00.000 UTC,514,452,295,237
2025-12-18 18:00:00.000 UTC,377,320,254,197
2025-12-19 00:00:00.000 UTC,294,273,189,168
2025-12-19 06:00:00.000 UTC,286,285,210,209
2025-12-19 12:00:00.000 UTC,296,255,229,188
2025-12-19 18:00:00.000 UTC,243,175,187,121
2025-12-20 00:00:00.000 UTC,202,159,151,108
2025-12-20 06:00:00.000 UTC,203,182,158,138
2025-12-20 12:00:00.000 UTC,241,193,189,140
2025-12-20 18:00:00.000 UTC,197,183,141,129
2025-12-21 00:00:00.000 UTC,156,108,125,75
2025-12-21 06:00:00.000 UTC,198,145,166,112
2025-12-21 12:00:00.000 UTC,280,205,225,151
2025-12-21 18:00:00.000 UTC,210,186,170,145
2025-12-22 00:00:00.000 UTC,235,211,158,134
2025-12-22 06:00:00.000 UTC,308,274,217,183
2025-12-22 12:00:00.000 UTC,384,333,275,225
2025-12-22 18:00:00.000 UTC,294,315,202,223
2025-12-23 00:00:00.000 UTC,218,209,154,145
2025-12-23 06:00:00.000 UTC,229,212,172,155
2025-12-23 12:00:00.000 UTC,285,241,227,181
2025-12-23 18:00:00.000 UTC,227,189,163,124
2025-12-24 00:00:00.000 UTC,157,162,117,124
2025-12-24 06:00:00.000 UTC,204,169,158,123
2025-12-24 12:00:00.000 UTC,240,211,180,150
2025-12-24 18:00:00.000 UTC,141,116,99,74
2025-12-25 00:00:00.000 UTC,123,106,99,83
2025-12-25 06:00:00.000 UTC,192,133,156,98
2025-12-25 12:00:00.000 UTC,229,179,171,121
2025-12-25 18:00:00.000 UTC,187,150,144,107
2025-12-26 00:00:00.000 UTC,257,232,181,155
2025-12-26 06:00:00.000 UTC,229,219,156,147
2025-12-26 12:00:00.000 UTC,253,223,192,162
2025-12-26 18:00:00.000 UTC,202,160,153,110
2025-12-27 00:00:00.000 UTC,133,119,101,88
2025-12-27 06:00:00.000 UTC,154,125,126,98
2025-12-27 12:00:00.000 UTC,180,187,117,125
2025-12-27 18:00:00.000 UTC,180,142,128,91
2025-12-28 00:00:00.000 UTC,126,96,107,77
2025-12-28 06:00:00.000 UTC,146,143,104,102
2025-12-28 12:00:00.000 UTC,184,165,143,125
2025-12-28 18:00:00.000 UTC,177,150,135,108
2025-12-29 00:00:00.000 UTC,224,217,142,135
2025-12-29 06:00:00.000 UTC,255,269,169,184
2025-12-29 12:00:00.000 UTC,302,254,233,185
2025-12-29 18:00:00.000 UTC,202,172,153,123
2025-12-30 00:00:00.000 UTC,192,169,154,129
2025-12-30 06:00:00.000 UTC,223,202,166,143
2025-12-30 12:00:00.000 UTC,345,308,232,192
2025-12-30 18:00:00.000 UTC,208,201,159,153
2025-12-31 00:00:00.000 UTC,160,130,143,113
2025-12-31 06:00:00.000 UTC,284,258,218,192
2025-12-31 12:00:00.000 UTC,319,233,247,163
2025-12-31 18:00:00.000 UTC,205,177,160,130
2026-01-01 00:00:00.000 UTC,138,104,108,75
2026-01-01 06:00:00.000 UTC,138,117,112,91
2026-01-01 12:00:00.000 UTC,221,181,178,138
2026-01-01 18:00:00.000 UTC,220,154,182,118
2026-01-02 00:00:00.000 UTC,176,151,141,116
2026-01-02 06:00:00.000 UTC,229,184,176,130
2026-01-02 12:00:00.000 UTC,333,292,242,206
2026-01-02 18:00:00.000 UTC,288,248,207,167
2026-01-03 00:00:00.000 UTC,244,200,181,139
2026-01-03 06:00:00.000 UTC,205,188,149,131
2026-01-03 12:00:00.000 UTC,230,182,183,136
2026-01-03 18:00:00.000 UTC,189,159,162,129
2026-01-04 00:00:00.000 UTC,215,170,163,120
2026-01-04 06:00:00.000 UTC,203,155,157,109
2026-01-04 12:00:00.000 UTC,252,183,202,135
2026-01-04 18:00:00.000 UTC,185,137,149,101
2026-01-05 00:00:00.000 UTC,274,224,182,134
2026-01-05 06:00:00.000 UTC,230,187,177,135
2026-01-05 12:00:00.000 UTC,296,251,239,192
