time_bucket,as_collateral_tx_count,as_debt_tx_count,liquidation_tx_count,unique_liquidated_users,unique_liquidators,liquidated_collateral_value_usd,liquidated_collateral_value_eth,liquidation_debt_covered_value_usd,liquidation_debt_covered_value_eth
2025-04-01 00:00:00.000 UTC,2086,2086,4172,4080,826,95150179.14196151,60787.775380199564,89867693.86900756,57415.26286963809
2025-04-08 00:00:00.000 UTC,246,246,492,484,175,2038449.44199545,1400.3274406568626,1888190.5003732168,1297.2678330863391
2025-04-15 00:00:00.000 UTC,67,67,134,130,79,1332180.454016243,835.6453438520682,1256308.729185042,788.0734862155039
2025-04-22 00:00:00.000 UTC,38,38,76,72,60,1020690.6288892902,646.1994404292851,971200.53024568,614.8645487101426
2025-04-29 00:00:00.000 UTC,16,16,32,29,25,160085.9456103674,86.94956495019575,129601.1615605293,70.43422591984923
2025-05-06 00:00:00.000 UTC,43,43,86,83,78,1790247.3934725572,725.3353558096209,1685087.52681916,682.7910319195638
2025-05-13 00:00:00.000 UTC,49,49,98,95,79,2837105.242457261,1152.9451279472084,2666268.0677869204,1083.5027234886907
2025-05-20 00:00:00.000 UTC,20,20,40,39,38,184535.57746483336,71.3036931805317,173164.5221099007,66.90912377706687
2025-05-27 00:00:00.000 UTC,37,37,74,74,64,260745.05816856146,102.59722513783453,243345.37896985788,95.74448457406884
2025-06-03 00:00:00.000 UTC,59,59,118,118,85,1206109.5071388958,488.588027218292,1142996.7768671142,463.1123251939553
2025-06-10 00:00:00.000 UTC,50,50,100,98,76,1027797.0673392578,404.8849948107506,973286.6444848687,383.4556833417475
2025-06-17 00:00:00.000 UTC,207,207,414,410,249,6641995.331030698,2857.819582212947,6200682.317802721,2668.7823963177384
2025-06-24 00:00:00.000 UTC,4,4,8,8,8,15946.236872955058,6.416054814152613,14938.065070973875,6.010590062205593
2025-07-01 00:00:00.000 UTC,19,19,38,35,34,26683.93074391347,10.478281954799108,25412.443044847245,9.978969703784319
2025-07-08 00:00:00.000 UTC,30,30,60,58,55,109306.87052167694,37.47029329662666,101463.64258917012,34.79031682673629
2025-07-15 00:00:00.000 UTC,63,63,126,118,112,2041970.2865157577,570.7634837097876,1830153.3048624492,513.133908675832
2025-07-22 00:00:00.000 UTC,52,52,104,102,94,1504634.878292578,405.1357775584978,1433258.3799910254,385.8881276105172
2025-07-29 00:00:00.000 UTC,105,105,210,208,145,8223311.104938505,2335.4387565443403,7810186.43513965,2218.1407825955603
2025-08-05 00:00:00.000 UTC,41,41,82,80,80,4501022.469986572,1104.708434108058,4291449.774542058,1053.3148191653754
2025-08-12 00:00:00.000 UTC,83,83,166,165,138,3074126.5159937167,677.6531048678139,2909408.684969076,641.4859236974223
2025-08-19 00:00:00.000 UTC,83,83,166,163,130,11244727.205206208,2473.827377575479,10593677.64051773,2331.7065614943945
2025-08-26 00:00:00.000 UTC,54,54,108,107,87,1653639.6636734544,374.94509249815115,1562025.3335794916,354.1963896890901
2025-09-02 00:00:00.000 UTC,17,17,34,31,32,170425.62069063794,38.6342634927073,161382.4738389441,36.580840607901564
2025-09-09 00:00:00.000 UTC,18,18,36,36,35,225382.62753285552,49.5727486444315,216198.75553489174,47.5534877520545
2025-09-16 00:00:00.000 UTC,129,129,258,247,126,16451063.954916531,3888.0291513140414,15496060.675686888,3662.017171777574
2025-09-23 00:00:00.000 UTC,118,118,236,234,123,3947490.329752347,984.0952362948165,3733080.1666383287,930.6196392450969
2025-09-30 00:00:00.000 UTC,10,10,20,18,18,11800.975620686464,2.6120454010819882,11315.825145050732,2.5048116450338576
2025-10-07 00:00:00.000 UTC,949,949,1898,1456,482,165445904.19562858,42668.75280327748,138802994.50711527,35857.73399128498
